deposition: (413,136) 0
diffusion (907,186) 1 => (907,185) 0
diffusion (735,7) 1 => (735,6) 0
diffusion (399,209) 1 => (400,209) 0
diffusion (610,77) 1 => (609,77) 0
diffusion (197,77) 1 => (196,77) 0
diffusion (404,177) 1 => (404,176) 0
diffusion (303,63) 1 => (303,62) 0
diffusion (847,226) 1 => (848,226) 0
diffusion (831,0) 1 => (830,0) 0
diffusion (468,84) 1 => (467,84) 0
diffusion (848,226) 1 => (847,226) 0
diffusion (270,117) 1 => (269,117) 0
diffusion (467,84) 1 => (467,83) 0
diffusion (488,252) 1 => (487,252) 0
diffusion (9,43) 1 => (10,43) 0
diffusion (336,210) 1 => (336,209) 0
diffusion (735,6) 1 => (734,6) 0
diffusion (10,43) 1 => (11,43) 0
diffusion (587,182) 1 => (586,182) 0
diffusion (55,239) 1 => (55,238) 0
diffusion (830,0) 1 => (830,1) 0
diffusion (925,224) 1 => (924,224) 0
diffusion (272,195) 1 => (272,196) 0
diffusion (734,6) 1 => (733,6) 0
diffusion (269,117) 1 => (270,117) 0
diffusion (943,102) 1 => (943,101) 0
diffusion (659,72) 1 => (659,73) 0
deposition: (259,244) 0
diffusion (404,176) 1 => (404,177) 0
diffusion (404,177) 1 => (405,177) 0
diffusion (294,18) 1 => (294,19) 0
diffusion (55,238) 1 => (54,238) 0
diffusion (303,62) 1 => (303,61) 0
diffusion (204,98) 1 => (204,97) 0
diffusion (405,177) 1 => (404,177) 0
diffusion (487,252) 1 => (487,253) 0
diffusion (259,244) 1 => (259,243) 0
diffusion (774,8) 1 => (774,9) 0
diffusion (924,224) 1 => (924,225) 0
diffusion (609,77) 1 => (610,77) 0
diffusion (733,6) 1 => (733,7) 0
diffusion (924,225) 1 => (924,226) 0
diffusion (303,61) 1 => (303,62) 0
diffusion (467,83) 1 => (468,83) 0
diffusion (11,43) 1 => (11,44) 0
diffusion (204,97) 1 => (203,97) 0
diffusion (196,77) 1 => (196,78) 0
diffusion (943,101) 1 => (944,101) 0
diffusion (336,209) 1 => (335,209) 0
diffusion (411,138) 1 => (412,138) 0
diffusion (907,185) 1 => (908,185) 0
diffusion (404,177) 1 => (403,177) 0
diffusion (944,101) 1 => (944,100) 0
diffusion (924,226) 1 => (924,227) 0
diffusion (54,238) 1 => (54,237) 0
diffusion (944,100) 1 => (945,100) 0
diffusion (774,9) 1 => (774,10) 0
diffusion (412,138) 1 => (413,138) 0
diffusion (908,185) 1 => (908,184) 0
diffusion (774,10) 1 => (774,9) 0
diffusion (54,237) 1 => (54,236) 0
diffusion (259,243) 1 => (258,243) 0
diffusion (847,226) 1 => (847,227) 0
diffusion (400,209) 1 => (400,208) 0
diffusion (335,209) 1 => (335,210) 0
diffusion (303,62) 1 => (303,63) 0
diffusion (847,227) 1 => (847,226) 0
diffusion (733,7) 1 => (734,7) 0
diffusion (137,77) 1 => (136,77) 0
diffusion (945,100) 1 => (944,100) 0
diffusion (908,184) 1 => (908,185) 0
diffusion (136,77) 1 => (137,77) 0
diffusion (11,44) 1 => (11,43) 0
diffusion (942,106) 1 => (941,106) 0
diffusion (258,243) 1 => (257,243) 0
diffusion (487,253) 1 => (487,252) 0
diffusion (403,177) 1 => (403,176) 0
diffusion (294,19) 1 => (293,19) 0
diffusion (586,182) 1 => (586,183) 0
diffusion (400,208) 1 => (400,209) 0
deposition: (929,231) 0
diffusion (908,185) 1 => (909,185) 0
diffusion (487,252) 1 => (487,251) 0
diffusion (830,1) 1 => (830,2) 0
diffusion (11,43) 1 => (11,42) 0
diffusion (830,2) 1 => (829,2) 0
diffusion (55,53) 1 => (54,53) 0
diffusion (400,209) 1 => (400,208) 0
diffusion (400,208) 1 => (399,208) 0
diffusion (944,100) 1 => (945,100) 0
diffusion (945,100) 1 => (946,100) 0
diffusion (829,2) 1 => (829,3) 0
diffusion (909,185) 1 => (908,185) 0
diffusion (186,148) 1 => (186,147) 0
diffusion (734,7) 1 => (733,7) 0
diffusion (929,231) 1 => (928,231) 0
diffusion (659,73) 1 => (658,73) 0
diffusion (413,138) 1 => (414,138) 0
diffusion (270,117) 1 => (270,118) 0
diffusion (829,3) 1 => (830,3) 0
diffusion (303,63) 1 => (304,63) 0
diffusion (941,106) 1 => (941,107) 0
diffusion (941,107) 1 => (941,106) 0
diffusion (908,185) 1 => (908,186) 0
